DFT Energy (eV), CHGNet Energy (eV)
-5.3943006461904766,-5.3943006461904766
-5.39447430047619,-5.39447430047619
-5.394790155714285,-5.394790155714285
-5.395091718571429,-5.395091718571429
-5.395381967142858,-5.395381967142858
-5.395569934761904,-5.395569934761904
-5.395746601428572,-5.395746601428572
-5.39581161,-5.39581161
-5.395867632857143,-5.395867632857143
-5.3958046614285715,-5.3958046614285715
-5.395797785476191,-5.395797785476191
-5.395708841428571,-5.395708841428571
-5.395743708333334,-5.395743708333334
-5.395844817857143,-5.395844817857143
-5.395836849047619,-5.395836849047619
-5.395684202619047,-5.395684202619047
-5.395378148095238,-5.395378148095238
-5.395052576904762,-5.395052576904762
-5.394710636666667,-5.394710636666667
-5.39444154,-5.39444154
-5.394183185952381,-5.394183185952381
-5.393813636666667,-5.393813636666667
-5.393402657380952,-5.393402657380952
-5.392848751190476,-5.392848751190476
-5.392294435,-5.392294435
-5.391771595,-5.391771595
-5.391537227380953,-5.391537227380953
-5.391543846428571,-5.391543846428571
-5.391593424285714,-5.391593424285714
-5.391523732380953,-5.391523732380953
-5.391529854761905,-5.391529854761905
-5.391439013095239,-5.391439013095239
-5.391248515238095,-5.391248515238095
-5.391140903571428,-5.391140903571428
-5.390988858095238,-5.390988858095238
-5.390812858333333,-5.390812858333333
-5.390819982857143,-5.390819982857143
-5.390937437857143,-5.390937437857143
-5.391375625476191,-5.391375625476191
-5.391651287142857,-5.391651287142857
-5.391821150952381,-5.391821150952381
-5.392109134761905,-5.392109134761905
-5.392381572142857,-5.392381572142857
-5.392721749285714,-5.392721749285714
-5.3929890347619045,-5.3929890347619045
-5.39327642952381,-5.39327642952381
-5.393519530952381,-5.393519530952381
-5.393776812857142,-5.393776812857142
-5.393951914285714,-5.393951914285714
-5.394136496428571,-5.394136496428571
-5.394334998333333,-5.394334998333333
-5.394603303095238,-5.394603303095238
-5.394725139047619,-5.394725139047619
-5.394708288095238,-5.394708288095238
-5.394803686666667,-5.394803686666667
-5.395067297142857,-5.395067297142857
-5.395271257380952,-5.395271257380952
-5.39535007,-5.39535007
-5.39560407452381,-5.39560407452381
-5.395732850714286,-5.395732850714286
-5.395757644761905,-5.395757644761905
-5.395861367380952,-5.395861367380952
-5.395905063809524,-5.395905063809524
-5.395877401428571,-5.395877401428571
-5.396063100714286,-5.396063100714286
-5.396342776904762,-5.396342776904762
-5.396625654047619,-5.396625654047619
-5.396867726190476,-5.396867726190476
-5.397038178571428,-5.397038178571428
-5.397251889285714,-5.397251889285714
-5.397650167380952,-5.397650167380952
-5.397863551666667,-5.397863551666667
-5.398129479047618,-5.398129479047618
-5.398372508571429,-5.398372508571429
-5.398538363809523,-5.398538363809523
-5.398531989047619,-5.398531989047619
-5.39854093547619,-5.39854093547619
-5.3985018728571434,-5.3985018728571434
-5.398476173809524,-5.398476173809524
-5.398576472857142,-5.398576472857142
-5.3987746295238095,-5.3987746295238095
-5.398908071666666,-5.398908071666666
-5.398981335952381,-5.398981335952381
-5.399058467142857,-5.399058467142857
-5.399036660714286,-5.399036660714286
-5.398863501190476,-5.398863501190476
