StructureData imported 3,000 structures
CHGNet v0.3.0 initialized with 412,525 parameters
CHGNet will run on cpu

===== Epoch 0 =====
Epoch: [0][210/300] | Time (0.904)(0.051) | Loss 0.0261(0.0489) | MAE e 0.016(0.020)  f 0.118(0.139)  s 0.125(0.181)  
Epoch: [0][216/300] | Time (0.902)(0.050) | Loss 0.0208(0.0482) | MAE e 0.004(0.019)  f 0.105(0.139)  s 0.120(0.180)  
Epoch: [0][222/300] | Time (0.899)(0.050) | Loss 0.0210(0.0475) | MAE e 0.003(0.019)  f 0.105(0.138)  s 0.135(0.179)  
Epoch: [0][228/300] | Time (0.896)(0.050) | Loss 0.0225(0.0468) | MAE e 0.002(0.019)  f 0.110(0.137)  s 0.111(0.177)  
Epoch: [0][234/300] | Time (0.894)(0.050) | Loss 0.0221(0.0462) | MAE e 0.005(0.018)  f 0.108(0.136)  s 0.104(0.176)  
Epoch: [0][240/300] | Time (0.892)(0.050) | Loss 0.0209(0.0456) | MAE e 0.003(0.018)  f 0.100(0.135)  s 0.158(0.175)  
Epoch: [0][246/300] | Time (0.889)(0.049) | Loss 0.0220(0.0450) | MAE e 0.005(0.018)  f 0.111(0.135)  s 0.122(0.174)  
Epoch: [0][252/300] | Time (0.887)(0.049) | Loss 0.0202(0.0444) | MAE e 0.002(0.017)  f 0.105(0.134)  s 0.130(0.172)  
Epoch: [0][258/300] | Time (0.885)(0.049) | Loss 0.0186(0.0439) | MAE e 0.005(0.017)  f 0.099(0.133)  s 0.117(0.171)  
Epoch: [0][264/300] | Time (0.884)(0.049) | Loss 0.0221(0.0434) | MAE e 0.002(0.017)  f 0.108(0.133)  s 0.124(0.170)  
Epoch: [0][270/300] | Time (0.882)(0.049) | Loss 0.0193(0.0429) | MAE e 0.006(0.016)  f 0.099(0.132)  s 0.122(0.169)  
Epoch: [0][276/300] | Time (0.880)(0.049) | Loss 0.0193(0.0424) | MAE e 0.002(0.016)  f 0.100(0.131)  s 0.109(0.168)  
Epoch: [0][282/300] | Time (0.880)(0.050) | Loss 0.0182(0.0419) | MAE e 0.002(0.016)  f 0.097(0.131)  s 0.107(0.167)  
Epoch: [0][288/300] | Time (0.879)(0.050) | Loss 0.0223(0.0415) | MAE e 0.003(0.016)  f 0.107(0.130)  s 0.119(0.166)  
Epoch: [0][294/300] | Time (0.881)(0.050) | Loss 0.0206(0.0411) | MAE e 0.003(0.015)  f 0.105(0.130)  s 0.121(0.166)  
Epoch: [0][300/300] | Time (0.882)(0.050) | Loss 0.0221(0.0407) | MAE e 0.002(0.015)  f 0.110(0.129)  s 0.109(0.165)  
Val: [6/38] | Time (0.424) | Loss 0.0172(0.0200) | MAE e 0.010(0.009)  f 0.092(0.102)  s 0.104(0.124)  
Val: [12/38] | Time (0.405) | Loss 0.0230(0.0205) | MAE e 0.009(0.009)  f 0.110(0.103)  s 0.122(0.123)  
Val: [18/38] | Time (0.398) | Loss 0.0192(0.0202) | MAE e 0.007(0.009)  f 0.098(0.102)  s 0.144(0.123)  
Val: [24/38] | Time (0.395) | Loss 0.0171(0.0200) | MAE e 0.009(0.008)  f 0.094(0.102)  s 0.120(0.122)  
Val: [30/38] | Time (0.392) | Loss 0.0206(0.0203) | MAE e 0.009(0.008)  f 0.102(0.102)  s 0.113(0.121)  
Val: [36/38] | Time (0.390) | Loss 0.0190(0.0203) | MAE e 0.007(0.008)  f 0.100(0.102)  s 0.121(0.121)  
*   e_MAE (0.008) 	f_MAE (0.102) 	s_MAE (0.122) 	
Test: [6/38] | Time (0.387) | Loss 0.0171(0.0195) | MAE e 0.010(0.008)  f 0.094(0.099)  s 0.121(0.130)  
Test: [12/38] | Time (0.383) | Loss 0.0214(0.0202) | MAE e 0.010(0.008)  f 0.099(0.101)  s 0.135(0.128)  
Test: [18/38] | Time (0.384) | Loss 0.0211(0.0205) | MAE e 0.011(0.008)  f 0.106(0.102)  s 0.114(0.128)  
Test: [24/38] | Time (0.383) | Loss 0.0171(0.0204) | MAE e 0.007(0.008)  f 0.089(0.101)  s 0.118(0.128)  
Test: [30/38] | Time (0.382) | Loss 0.0199(0.0204) | MAE e 0.007(0.008)  f 0.101(0.102)  s 0.128(0.127)  
Test: [36/38] | Time (0.398) | Loss 0.0232(0.0204) | MAE e 0.009(0.008)  f 0.110(0.101)  s 0.112(0.125)  
**  e_MAE (0.008) 	f_MAE (0.102) 	s_MAE (0.126) 	
Epoch 0: New best validation energy MAE: 0.008338

===== Epoch 1 =====
Epoch: [1][1/300] | Time (0.784)(0.002) | Loss 0.0197(0.0197) | MAE e 0.009(0.009)  f 0.102(0.102)  s 0.119(0.119)  
Epoch: [1][6/300] | Time (0.771)(0.000) | Loss 0.0181(0.0198) | MAE e 0.005(0.007)  f 0.098(0.101)  s 0.098(0.118)  
Epoch: [1][12/300] | Time (0.773)(0.000) | Loss 0.0213(0.0196) | MAE e 0.003(0.005)  f 0.106(0.100)  s 0.132(0.124)  
Epoch: [1][18/300] | Time (0.771)(0.000) | Loss 0.0195(0.0196) | MAE e 0.004(0.005)  f 0.100(0.100)  s 0.122(0.125)  
Epoch: [1][24/300] | Time (0.771)(0.000) | Loss 0.0197(0.0197) | MAE e 0.003(0.004)  f 0.103(0.101)  s 0.105(0.120)  
Epoch: [1][30/300] | Time (0.769)(0.000) | Loss 0.0197(0.0196) | MAE e 0.004(0.004)  f 0.098(0.101)  s 0.135(0.120)  
Epoch: [1][36/300] | Time (0.768)(0.000) | Loss 0.0195(0.0197) | MAE e 0.002(0.005)  f 0.101(0.101)  s 0.113(0.120)  
Epoch: [1][42/300] | Time (0.768)(0.000) | Loss 0.0192(0.0197) | MAE e 0.003(0.005)  f 0.098(0.101)  s 0.123(0.121)  
Epoch: [1][48/300] | Time (0.768)(0.000) | Loss 0.0154(0.0194) | MAE e 0.004(0.005)  f 0.088(0.100)  s 0.095(0.121)  
Epoch: [1][54/300] | Time (0.768)(0.000) | Loss 0.0195(0.0193) | MAE e 0.005(0.005)  f 0.101(0.100)  s 0.104(0.120)  
Epoch: [1][60/300] | Time (0.768)(0.000) | Loss 0.0199(0.0194) | MAE e 0.003(0.005)  f 0.102(0.100)  s 0.102(0.121)  
Epoch: [1][66/300] | Time (0.768)(0.000) | Loss 0.0212(0.0195) | MAE e 0.004(0.005)  f 0.098(0.100)  s 0.173(0.123)  
Epoch: [1][72/300] | Time (0.767)(0.000) | Loss 0.0207(0.0196) | MAE e 0.005(0.005)  f 0.097(0.100)  s 0.155(0.124)  
Epoch: [1][78/300] | Time (0.780)(0.000) | Loss 0.0201(0.0196) | MAE e 0.004(0.005)  f 0.101(0.100)  s 0.141(0.125)  
Epoch: [1][84/300] | Time (0.784)(0.000) | Loss 0.0177(0.0196) | MAE e 0.003(0.004)  f 0.096(0.100)  s 0.099(0.125)  
Epoch: [1][90/300] | Time (0.784)(0.000) | Loss 0.0194(0.0196) | MAE e 0.003(0.004)  f 0.099(0.100)  s 0.120(0.125)  
Epoch: [1][96/300] | Time (0.784)(0.000) | Loss 0.0184(0.0196) | MAE e 0.006(0.004)  f 0.098(0.099)  s 0.096(0.125)  
Epoch: [1][102/300] | Time (0.785)(0.000) | Loss 0.0180(0.0195) | MAE e 0.011(0.005)  f 0.096(0.099)  s 0.109(0.126)  
Epoch: [1][108/300] | Time (0.783)(0.000) | Loss 0.0188(0.0195) | MAE e 0.002(0.005)  f 0.099(0.099)  s 0.108(0.126)  
Epoch: [1][114/300] | Time (0.782)(0.000) | Loss 0.0177(0.0194) | MAE e 0.006(0.005)  f 0.092(0.099)  s 0.119(0.125)  
Epoch: [1][120/300] | Time (0.781)(0.000) | Loss 0.0170(0.0193) | MAE e 0.002(0.005)  f 0.093(0.099)  s 0.101(0.125)  
Epoch: [1][126/300] | Time (0.780)(0.000) | Loss 0.0197(0.0192) | MAE e 0.005(0.005)  f 0.102(0.098)  s 0.106(0.124)  
Epoch: [1][132/300] | Time (0.779)(0.000) | Loss 0.0165(0.0191) | MAE e 0.003(0.005)  f 0.094(0.098)  s 0.099(0.123)  
Epoch: [1][138/300] | Time (0.779)(0.000) | Loss 0.0152(0.0190) | MAE e 0.005(0.005)  f 0.089(0.098)  s 0.099(0.122)  
